image,px,py
00_002377.jpg,233.60541534423828,195.10243606567383
00_002378.jpg,279.9345703125,191.50095748901367
00_002379.jpg,256.0550079345703,209.94941329956055
00_002380.jpg,256.0550079345703,209.94941329956055
00_002381.jpg,258.44215393066406,204.7965202331543
00_002382.jpg,258.44215393066406,204.7965202331543
00_002384.jpg,309.2750701904297,177.66432428359985
00_002390.jpg,305.8758087158203,175.76806926727295
00_002391.jpg,305.8758087158203,175.76806926727295
00_002392.jpg,264.0636444091797,202.94260025024414
00_002393.jpg,264.0636444091797,202.94260025024414
00_002395.jpg,279.40196228027344,187.8208885192871
00_002396.jpg,279.40196228027344,187.8208885192871
00_002400.jpg,280.3761291503906,197.48581504821777
00_002401.jpg,280.3761291503906,197.48581504821777
00_002402.jpg,246.37874603271484,195.52076530456543
00_002403.jpg,208.47153854370117,184.69054985046387
00_002404.jpg,208.47153854370117,184.69054985046387
00_002405.jpg,265.7436752319336,206.41450119018555
00_002406.jpg,265.7436752319336,206.41450119018555
00_002408.jpg,210.26517486572266,185.12424087524414
00_002409.jpg,304.2340393066406,177.8909206390381
00_002410.jpg,304.2340393066406,177.8909206390381
00_002411.jpg,286.62677001953125,198.216459274292
00_002412.jpg,286.62677001953125,198.216459274292
00_002413.jpg,286.4360885620117,200.23073959350586
00_002419.jpg,262.54173278808594,214.69368743896484
00_002420.jpg,262.54173278808594,214.69368743896484
00_002426.jpg,263.6355743408203,212.47215270996094
00_002427.jpg,229.60267639160156,205.1303939819336
00_002428.jpg,229.60267639160156,205.1303939819336
00_002429.jpg,285.98795318603516,202.7360382080078
00_002430.jpg,285.98795318603516,202.7360382080078
00_002432.jpg,268.16991424560547,212.3543357849121
01_002447.jpg,230.6958770751953,191.61638069152832
01_002448.jpg,230.2826385498047,195.8862075805664
01_002449.jpg,230.2826385498047,195.8862075805664
01_002451.jpg,233.38079071044922,195.22806549072266
01_002452.jpg,233.38079071044922,195.22806549072266
01_002453.jpg,227.87133026123047,196.39145278930664
01_002454.jpg,227.87133026123047,196.39145278930664
01_002455.jpg,171.16732025146484,157.28577041625977
01_002457.jpg,238.09933471679688,202.6170997619629
01_002458.jpg,238.09933471679688,202.6170997619629
01_002461.jpg,246.3001251220703,205.95501708984375
01_002469.jpg,248.83170318603516,210.28408813476562
01_002470.jpg,282.0649108886719,196.00847244262695
01_002471.jpg,210.81463241577148,204.47554779052734
01_002472.jpg,210.81463241577148,204.47554779052734
01_002473.jpg,281.3470993041992,190.68746376037598
01_002474.jpg,280.95672607421875,191.38030433654785
01_002475.jpg,279.96472930908203,189.09460830688477
01_002476.jpg,231.63603973388672,194.72492599487305
